driver_id,predicted_risk,premium
driver_1,0.4536823265467705,501.13
driver_10,90.09154225708976,725.23
driver_11,15.831431710306562,539.58
driver_12,91.38133170846794,728.45
driver_13,0.5278204354809674,501.32
driver_14,7.203528192301138,518.01
driver_15,27.162839418488694,567.91
driver_16,99.35706575179772,748.39
driver_17,39.076168879759145,597.69
driver_18,48.25887076465602,620.65
driver_19,1.9298563140785912,504.82
driver_2,3.7232978209187353,509.31
driver_20,95.30658901288244,738.27
driver_21,24.82966787210498,562.07
driver_22,12.575783654404685,531.44
driver_23,96.43729157212712,741.09
driver_24,62.46731847319788,656.17
driver_25,97.13968718742542,742.85
driver_26,4.291410093419498,510.73
driver_27,1.6161788069769738,504.04
driver_28,68.46095345051266,671.15
driver_29,95.81241310013247,739.53
driver_3,36.706203900554755,591.77
driver_30,72.58993314028781,681.47
driver_31,10.766813982403814,526.92
driver_32,99.7699678695502,749.42
driver_33,72.4576177743571,681.14
driver_34,25.921886320787497,564.8
driver_35,11.51572787248166,528.79
driver_36,59.857136588771745,649.64
driver_37,67.41430636610048,668.54
driver_38,36.707216310892235,591.77
driver_39,9.962485128704069,524.91
driver_4,98.87613484038854,747.19
driver_40,98.48529985849174,746.21
driver_41,18.64453268853278,546.61
driver_42,81.42342277612754,703.56
driver_43,87.41475311154011,718.54
driver_44,84.2290041538256,710.57
driver_45,8.752053694772199,521.88
driver_46,61.68485707729705,654.21
driver_47,96.8391650428445,742.1
driver_48,12.047943518423573,530.12
driver_49,84.76008462260273,711.9
driver_5,1.0318895922473064,502.58
driver_6,99.1873871944293,747.97
driver_7,79.18423263767396,697.96
driver_8,15.79546282323678,539.49
driver_9,22.4228851010326,556.06
